"company","year","revenue","revenue_growth_yo_y_percent","cost_of_revenue","gross_profit","selling_general_admin","other_operating_expenses","operating_expenses","operating_income","interest_expense_income","other_expense_income","pretax_income","income_tax","net_income","shares_outstanding_basic","shares_outstanding_diluted","shares_change_percent","eps_basic","eps_diluted","free_cash_flow","free_cash_flow_per_share","gross_margin_percent","operating_margin_percent","profit_margin_percent","free_cash_flow_margin_percent","ebitda","ebitda_margin_percent","depreciation_amortization","ebit","ebit_margin_percent","research_development","net_income_growth_percent","eps_growth_percent","effective_tax_rate_percent","preferred_dividends","net_income_common","dividend_per_share","dividend_growth_percent"
"fdp",2023,4321,-2.74,3970,350.7,186.7,105.5,292.2,58.5,24.1,27.7,6.7,18.1,-11.4,48,48,0.07,-0.24,-0.24,240.1,5,8.12,1.35,-0.26,5.56,115.6,2.68,84.8,30.8,0.71,NA,NA,NA,NA,NA,NA,0.75,25
"fdp",2022,4442,4.48,4102,340.2,186.8,-2.9,183.9,156.3,24.4,13.2,118.7,20.1,98.6,48,48,0.51,2.06,2.06,22.4,0.47,7.66,3.52,2.22,0.5,235.6,5.3,92.5,143.1,3.22,NA,NA,NA,NA,NA,NA,0.6,20
"fdp",2021,4252,1.18,3948,303.8,192.9,-0.1,192.8,111,20.3,8.7,82,2,80,48,48,0.09,1.68,1.68,47.5,1,7.14,2.61,1.88,1.12,199.1,4.68,96.8,102.3,2.41,NA,NA,NA,NA,NA,NA,0.5,66.67
"fdp",2020,4202,-6.39,3951,250.9,196.2,-21.8,174.4,76.5,21.4,0.9,54.2,5,49.2,48,48,-1.52,1.03,1.03,70.1,1.47,5.97,1.82,1.17,1.67,170.6,4.06,95,75.6,1.8,NA,NA,NA,NA,NA,NA,0.3,114.29
"fdp",2019,4489,-0.11,4183,306.4,201.5,-9.2,192.3,114.1,25.4,0.8,87.9,21.4,66.5,48,48,-0.48,1.38,1.37,116.2,2.41,6.83,2.54,1.48,2.59,211.2,4.7,97.9,113.3,2.52,NA,NA,NA,NA,NA,NA,0.14,-76.67
"fdp",2018,4494,9.99,4208,285.9,200.8,46.5,247.3,38.6,23.6,20.8,-5.8,16.1,-21.9,49,49,-3.88,-0.45,-0.45,113.5,2.33,6.36,0.86,-0.49,2.53,118.3,2.63,100.5,17.8,0.4,NA,NA,NA,NA,NA,NA,0.6,0
"fdp",2017,4086,1.85,3754,331.6,173.2,5.7,178.9,152.7,6.4,0.6,145.7,24.9,120.8,50,51,-2.64,2.4,2.39,60.4,1.2,8.12,3.74,2.96,1.48,232,5.68,79.9,152.1,3.72,NA,NA,NA,NA,NA,NA,0.6,9.09
"fdp",2016,4012,-1.11,3550,461.4,187.4,29.8,217.2,244.2,4.1,3.2,236.9,11.8,225.1,52,52,-2.33,4.37,4.33,210.3,4.08,11.5,6.09,5.61,5.24,319.5,7.96,78.5,241,6.01,NA,NA,NA,NA,NA,NA,0.55,10
"fdp",2015,4057,3.28,3714,342.3,183.9,67.4,251.3,91,4.3,10.6,76.1,13.7,62.4,53,53,-5.59,1.18,1.17,112.5,2.13,8.44,2.24,1.54,2.77,152.8,3.77,72.4,80.4,1.98,NA,NA,NA,NA,NA,NA,0.5,0
"fdp",2014,3928,6.62,3563,364.8,175.8,15.5,191.3,173.5,3.2,13.6,156.7,14.3,142.4,56,56,-0.14,2.54,2.53,83.2,1.49,9.29,4.42,3.63,2.12,233.2,5.94,73.3,159.9,4.07,NA,NA,NA,NA,NA,NA,0.5,0
"elv",2023,171340,9.42,141623,29717,20087,885,20972,8745,1030,NA,7711,1724,5987,235,NA,-1.62,25.38,25.22,6765,28.79,17.34,5.1,3.49,3.95,10486,6.12,1745,8741,5.1,NA,1.58,3.87,22.36,NA,NA,5.92,15.63
"elv",2022,156595,12.95,129677,26918,17700,767,18467,8451,851,NA,7606,1712,5894,239,NA,-1.6,24.56,24.28,7247,30.34,17.19,5.4,3.76,4.63,10132,6.47,1675,8457,5.4,NA,-4.29,-2.69,22.51,NA,NA,5.12,13.27
"elv",2021,138639,13.76,113466,25173,15918,441,16359,8814,798,NA,8004,1846,6158,243,NA,-2.41,25.26,24.95,7277,29.98,18.16,6.36,4.44,5.25,10104,7.29,1302,8802,6.35,NA,34.69,38.77,23.06,NA,NA,4.52,18.95
"elv",2020,121867,16.94,96998,24869,17450,361,17811,7058,784,NA,6238,1666,4572,249,NA,-1.92,18.23,17.98,9667,38.87,20.41,5.79,3.75,7.93,8176,6.71,1154,7022,5.76,NA,-4.89,-2.65,26.71,NA,NA,3.8,18.75
"elv",2019,104213,13.15,83778,20435,13364,338,13702,6733,746,NA,5985,1178,4807,254,NA,-1.96,18.81,18.47,4984,19.66,19.61,6.46,4.61,4.78,7864,7.55,1133,6731,6.46,NA,28.19,30.16,19.68,NA,NA,3.2,6.67
"elv",2018,92105,2.29,71895,20210,14020,358,14378,5832,753,NA,5068,1318,3750,259,NA,0.73,14.53,14.19,2619,10.13,21.94,6.33,4.07,2.84,6953,7.55,1132,5821,6.32,NA,-2.42,-1.11,26.01,NA,NA,3,11.11
"elv",2017,90040,6.1,72236,17804,12650,169,12819,4985,739,NA,3964,121,3843,257,NA,-2.53,14.7,14.35,3394,13.22,19.77,5.54,4.27,3.77,5594,6.21,891,4703,5.22,NA,55.59,55.81,3.05,NA,NA,2.7,3.85
"elv",2016,84863,7.21,66834,18029,12559,192,12751,5278,723,NA,4555,2085,2470,263,NA,0.91,9.39,9.21,2686,10.2,21.24,6.22,2.91,3.17,6190,7.29,912,5278,6.22,NA,-3.52,-1.81,45.77,NA,NA,2.6,4
"elv",2015,79157,7.15,61117,18040,12535,230.1,12765,5275,653,NA,4631,2071,2560,261,NA,-3.29,9.73,9.38,3609,13.82,22.79,6.66,3.23,4.56,6192,7.82,907.9,5284,6.68,NA,-0.38,4.34,44.72,NA,NA,2.5,42.69
"elv",2014,73874,4.01,56855,17019,11748,220.9,11969,5050,600.7,NA,4378,1808,2570,270,NA,-8.62,9.31,8.99,2743,10.16,23.04,6.84,3.48,3.71,5829,7.89,851,4978,6.74,NA,3.21,9.63,41.3,NA,NA,1.752,16.8
"dis",2023,88898,7.47,59201,29697,15336,9261,24597,5100,1209,158,3733,1379,2354,1828,1830,0.16,1.29,1.29,4897,2.68,33.41,5.74,2.65,5.51,10311,11.6,5369,4942,5.56,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2022,82722,22.7,54401,28321,16388,5400,21788,6533,1397,259,4877,1732,3145,1822,1827,-0.05,1.73,1.72,1067,0.59,34.24,7.9,3.8,1.29,11437,13.83,5163,6274,7.58,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2021,67418,3.1,45131,22287,13517,5765,19282,3005,1406,-421,2020,25,1995,1816,1828,1.11,1.1,1.09,1989,1.09,33.06,4.46,2.96,2.95,8537,12.66,5111,3426,5.08,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2020,65388,-6.06,43880,21508,12369,11080,23449,-1941,1491,-1267,-2165,699,-2864,1808,1808,8.52,-1.58,-1.58,3596,1.99,32.89,-2.97,-4.38,5.5,4671,7.14,5345,-674,-1.03,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2019,69607,17.12,42061,27546,11549,5350,16899,10647,978,-4411,14080,3026,11054,1656,1666,10.55,6.68,6.64,1730,1.04,39.57,15.3,15.88,2.49,19225,27.62,4167,15058,21.63,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2018,59434,7.79,32726,26708,8860,3044,11904,14804,574,-31,14261,1663,12598,1499,1507,-4.5,8.4,8.36,9830,6.56,44.94,24.91,21.2,16.54,17846,30.03,3011,14835,24.96,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2017,55137,-0.89,30306,24831,8176,2880,11056,13775,385,-12,13402,4422,8980,1568,1578,-3.72,5.73,5.69,8720,5.56,45.04,24.98,16.29,15.82,16569,30.05,2782,13787,25,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2016,55632,6.04,29993,25639,8754,2683,11437,14202,260,-527,14469,5078,9391,1629,1639,-4.1,5.76,5.73,8363,5.13,46.09,25.53,16.88,15.03,17256,31.02,2527,14729,26.48,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2015,52465,7.48,28364,24101,8523,2407,10930,13171,117,-344,13398,5016,8382,1694,1709,-2.84,4.95,4.9,7120,4.2,45.94,25.1,15.98,13.57,15869,30.25,2354,13515,25.76,NA,NA,NA,NA,NA,NA,NA,NA
"dis",2014,48813,8.37,26420,22393,8565,2428,10993,11400,-23,-320,11743,4242,7501,1740,1759,-2.98,4.31,4.26,6469,3.72,45.88,23.35,15.37,13.25,14008,28.7,2288,11720,24.01,NA,NA,NA,NA,NA,NA,NA,NA
"cvs",2023,357776,10.95,303345,54431,39832,856,40688,13743,2658,-64,11149,2805,8344,1285,1290,-2.49,6.49,6.47,10395,8.09,15.21,3.84,2.33,2.91,13807,3.86,0,13807,3.86,NA,NA,NA,25.16,NA,NA,2.42,10
"cvs",2022,322467,10.39,267965,54502,38212,8336,46548,7954,2287,-153,5820,1509,4311,1312,1323,-0.45,3.29,3.26,13450,10.25,16.9,2.47,1.34,4.17,8107,2.51,0,8107,2.51,NA,NA,NA,25.93,NA,NA,2.2,10
"cvs",2021,292111,8.71,239991,52120,37021,1789,38810,13310,2503,258,10549,2548,8001,1319,1329,1.14,6.07,6.02,15745,11.94,17.84,4.56,2.74,5.39,13052,4.47,0,13052,4.47,NA,NA,NA,24.15,NA,NA,2,0
"cvs",2020,268706,4.65,219660,49046,35135,0,35135,13911,2907,1256,9748,2569,7179,1309,1314,0.69,5.48,5.46,13428,10.26,18.25,5.18,2.67,5,17096,6.36,4441,12655,4.71,NA,NA,NA,26.35,NA,NA,2,0
"cvs",2019,256776,31.96,211248,45528,33310,231,33541,11987,3035,-48,9000,2366,6634,1301,1305,25,5.1,5.08,10391,7.99,17.73,4.67,2.58,4.05,16406,6.39,4371,12035,4.69,NA,NA,NA,26.29,NA,NA,2,0
"cvs",2018,194579,5.3,163041,31538,21368,6149,27517,4021,2619,-6,1408,2002,-594,1044,1044,1.95,-0.57,-0.57,6828,6.54,16.21,2.07,-0.31,3.51,6745,3.47,2718,4027,2.07,NA,NA,NA,142.19,NA,NA,2,0
"cvs",2017,184786,4.08,156258,28528,18809,181,18990,9538,1062,217,8259,1637,6622,1020,1024,-5.1,6.47,6.44,6089,5.97,15.44,5.16,3.58,3.3,11800,6.39,2479,9321,5.04,NA,NA,NA,19.82,NA,NA,2,17.65
"cvs",2016,177546,15.82,148712,28834,18448,0,18448,10386,1078,674,8634,3317,5317,1073,1079,-4.17,4.93,4.9,7917,7.38,16.24,5.85,2.99,4.46,12187,6.86,2475,9712,5.47,NA,NA,NA,38.42,NA,NA,1.7,21.43
"cvs",2015,153290,9.99,126762,26528,17053,21,17074,9454,838,-7,8623,3386,5237,1118,1126,-3.68,4.66,4.63,6207,5.55,17.31,6.17,3.42,4.05,11553,7.54,2092,9461,6.17,NA,NA,NA,39.27,NA,NA,1.4,27.27
"cvs",2014,139367,9.94,114000,25367,16568,0,16568,8799,600,522,7677,3033,4644,1161,1169,-4.65,3.98,3.96,6012,5.18,18.2,6.31,3.33,4.31,10208,7.32,1931,8277,5.94,NA,NA,NA,39.51,NA,NA,1.1,22.22
"unh",2023,371622,14.64,280664,90958,54628,3972,58600,32358,3246,NA,28349,5968,22381,928,938,-1.26,24.12,23.86,25682,27.68,24.48,8.71,6.02,6.91,35567,9.57,3972,31595,8.5,NA,11.24,12.65,21.05,NA,NA,7.29,13.91
"unh",2022,324162,12.71,244545,79617,47782,3400,51182,28435,2092,NA,25824,5704,20120,937,950,-0.63,21.47,21.18,23404,24.98,24.56,8.77,6.21,7.22,31316,9.66,3400,27916,8.61,NA,16.4,17.15,22.09,NA,NA,6.4,14.29
"unh",2021,287597,11.84,217945,69652,42579,3103,45682,23970,1660,NA,21863,4578,17285,943,956,-0.52,18.33,18.08,19889,21.09,24.22,8.33,6.01,6.92,26626,9.26,3103,23523,8.18,NA,12.22,12.79,20.94,NA,NA,5.6,15.94
"unh",2020,257141,6.19,190141,67000,41704,2891,44595,22405,1663,NA,20376,4973,15403,949,961,-0.52,16.23,16.03,20123,21.2,26.06,8.71,5.99,7.83,24930,9.7,2891,22039,8.57,NA,11.3,11.86,24.41,NA,NA,4.83,16.67
"unh",2019,242155,7.03,184557,57598,35193,2720,37913,19685,1704,NA,17581,3742,13839,951,966,-1.73,14.55,14.33,16392,17.24,23.79,8.13,5.71,6.77,22005,9.09,2720,19285,7.96,NA,15.46,17.56,21.28,NA,NA,4.14,20
"unh",2018,226247,12.47,172401,53846,34074,2428,36502,17344,1400,NA,15548,3562,11986,963,983,-0.2,12.45,12.19,13650,14.17,23.8,7.67,5.3,6.03,19376,8.56,2428,16948,7.49,NA,13.53,13.71,22.91,NA,NA,3.45,20
"unh",2017,201159,8.83,154148,47011,29557,2245,31802,15209,1186,NA,13758,3200,10558,964,985,1.76,10.95,10.72,11573,12.01,23.37,7.56,5.25,5.75,17189,8.54,2245,14944,7.43,NA,50.46,47.86,23.26,NA,NA,2.875,21.05
"unh",2016,184840,17.65,141454,43386,28401,2055,30456,12930,1067,NA,11807,4790,7017,952,968,0.1,7.37,7.25,8090,8.5,23.47,7,3.8,4.38,14929,8.08,2055,12874,6.96,NA,20.71,20.63,40.57,NA,NA,2.375,26.67
"unh",2015,157107,20.41,120081,37026,24312,1693,26005,11021,790,NA,10176,4363,5813,953,967,-1.93,6.1,6.01,8184,8.59,23.57,7.01,3.7,5.21,12659,8.06,1693,10966,6.98,NA,3.45,5.44,42.88,NA,NA,1.875,33.45
"unh",2014,130474,6.52,97459,33015,21263,1478,22741,10274,618,NA,9656,4037,5619,972,986,-3.62,5.78,5.7,6526,6.71,25.3,7.87,4.31,5,11752,9.01,1478,10274,7.87,NA,-0.11,3.64,41.81,NA,NA,1.405,33.56
"bidu",2023,134598,8.83,65031,69567,23519,NA,47711,21856,3248,-5356,23964,3649,20315,2807,2837,1,55.84,55.12,25425,72.46,51.69,16.24,15.09,18.89,41581,30.89,14369,27212,20.22,24192,168.75,177.82,15.23,NA,NA,NA,NA
"bidu",2022,123675,-0.66,63935,59740,20514,NA,43829,15911,2913,2861,10137,2578,7559,2782,2809,-0.18,20,19.84,17884,51.43,48.3,12.87,6.11,14.46,25353,20.5,12303,13050,10.55,23315,-26.08,-29.34,25.43,NA,NA,NA,NA
"bidu",2021,124493,16.27,64314,60179,24723,NA,49661,10518,3421,-6316,13413,3187,10226,2758,2814,2.1,28.64,28.08,9226,26.76,48.34,8.45,8.21,7.41,29310,23.54,12476,16834,13.52,24938,-54.49,-56.77,23.76,NA,NA,NA,NA
"bidu",2020,107074,-0.32,55158,51916,18063,NA,37576,14340,3103,-15299,26536,4064,22472,2732,2756,-1.25,65.52,64.96,19116,55.98,48.49,13.39,20.99,17.85,40489,37.81,10850,29639,27.68,19513,992.46,1060,15.32,NA,NA,NA,NA
"bidu",2019,107413,5.02,62850,44563,19910,NA,38256,6307,2960,-658,4005,1948,2057,2787,2791,-0.82,5.68,5.6,9878,28.36,41.49,5.87,1.92,9.2,16218,15.1,9253,6965,6.48,18346,-92.54,-92.82,48.64,NA,NA,NA,NA
"bidu",2018,102277,20.6,51744,50533,19231,NA,35003,15530,1883,-18669,32316,4743,27573,2792,2814,0.64,78.64,78,14079,40.34,49.41,15.18,26.96,13.77,40580,39.68,6381,34199,33.44,15772,50.66,48.83,14.68,NA,NA,NA,NA
"bidu",2017,84809,20.21,43062,41747,13128,NA,26056,15691,1615,-7220,21296,2995,18301,2778,2796,0.56,52.75,52.41,18927,54.51,49.22,18.5,21.58,22.32,35470,41.82,12559,22911,27.01,12928,57.33,64.48,14.06,NA,NA,NA,NA
"bidu",2016,70549,6.28,35278,35271,15071,NA,25222,10049,1158,-5654,14545,2913,11632,2773,2781,-0.79,31.95,31.86,18346,52.92,50,14.24,16.49,26,19154,27.15,3451,15703,22.26,10151,-65.45,-66.51,20.03,NA,NA,NA,NA
"bidu",2015,66382,35.33,27458,38924,17076,NA,27252,11672,1041,-28508,39139,5475,33664,2794,2803,-0.47,95.46,95.15,14543,41.64,58.64,17.58,50.71,21.91,43066,64.88,2886,40180,60.53,10176,155.09,154.8,13.99,NA,NA,NA,NA
"bidu",2014,49052,53.56,18885,30167,10382,NA,17363,12804,628.57,-3252.91,15428,2231,13197,2805,2816,0.46,37.49,37.34,13130,37.45,61.5,26.1,26.9,26.77,18281,37.27,2224,16057,32.73,6981,25.08,24.38,14.46,NA,NA,NA,NA
"agro",2023,1299,-3.62,973.18,325.69,199.41,-25.59,173.82,151.87,122.09,-275.18,304.96,78.67,226.29,107,NA,NA,2.11,2.1,230.11,2.16,25.07,11.69,17.42,17.72,701.15,53.98,274.1,427.05,32.88,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2022,1348,19.87,1076,271.98,227.8,-1.87,225.93,46.05,137.6,-226.45,134.9,26.76,108.14,111,NA,NA,0.98,0.98,155.8,1.4,20.18,3.42,8.02,11.56,526.88,39.09,254.38,272.5,20.22,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2021,1124,37.49,854.97,269.39,187.46,18.77,206.22,63.16,151.68,-263.02,174.51,43.84,130.67,117,NA,NA,1.14,1.13,148.64,1.27,23.96,5.62,11.62,13.22,544.31,48.41,218.13,326.19,29.01,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2020,817.76,-7.82,611.95,205.82,148.49,-1.99,146.5,59.32,213.78,-167.19,12.74,12.33,0.41,117,NA,NA,0,0,100.76,0.86,25.17,7.25,0.05,12.32,409.21,50.04,182.69,226.51,27.7,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2019,887.14,11.84,671.17,215.97,164.17,0.82,165,50.97,202.57,-171.65,20.05,20.82,-0.77,118,NA,NA,-0.01,-0.01,73.2,0.62,24.34,5.75,-0.09,8.25,442.22,49.85,219.61,222.61,25.09,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2018,793.24,-15,609.97,183.27,146.3,-104.23,42.06,141.21,163.94,2.92,-25.65,-1.02,-24.62,118,NA,NA,-0.21,-0.21,39,0.33,23.1,17.8,-3.1,4.92,292.55,36.88,154.25,138.29,17.43,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2017,933.18,7.36,766.73,166.45,152.7,-43.76,108.94,57.52,131.35,-82.04,8.21,-4.99,13.2,121,NA,NA,0.11,0.11,39.68,0.33,17.84,6.16,1.41,4.25,290.56,31.14,151.01,139.56,14.95,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2016,869.24,28.91,678.58,190.65,131.42,-5.75,125.67,64.98,165.38,-124.86,24.47,12.9,11.57,121,NA,NA,0.1,0.09,126.93,1.05,21.93,7.48,1.33,14.6,317.35,36.51,127.5,189.85,21.84,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2015,674.31,-6.73,557.79,116.53,118.69,-31.07,87.63,28.9,116.89,-74.44,-13.55,-7.95,-5.59,120,NA,NA,-0.05,-0.05,17.33,0.14,17.28,4.29,-0.83,2.57,207.74,30.81,104.4,103.34,15.33,NA,NA,NA,NA,NA,NA,NA,NA
"agro",2014,722.97,12.15,605.33,117.64,131.56,-11.98,119.58,-1.94,86.47,-110.06,21.65,10.54,11.12,122,NA,NA,0.09,0.09,-184.55,-1.52,16.27,-0.27,1.54,-25.53,245.8,34,137.67,108.12,14.96,NA,NA,NA,NA,NA,NA,NA,NA
"adm",2023,93935,-7.5,86422,7513,3456,342,3798,3715,647,-1243,4311,828,3483,541,542,NA,6.44,6.43,2966,5.48,8,3.95,3.71,3.16,6017,6.41,1059,4958,5.28,NA,-19.75,-16.6,19.21,NA,NA,1.8,12.5
"adm",2022,101556,19.13,93986,7570,3358,66,3424,4146,396,-1458,5208,868,4340,562,563,NA,7.72,7.71,2159,3.84,7.45,4.08,4.27,2.13,6632,6.53,1028,5604,5.52,NA,60.21,60.96,16.67,NA,NA,1.6,8.11
"adm",2021,85249,32.47,79262,5987,2994,164,3158,2829,265,-723,3287,578,2709,564,566,NA,4.8,4.79,5426,9.62,7.02,3.32,3.18,6.36,4548,5.33,996,3552,4.17,NA,52.88,52.06,17.58,NA,NA,1.48,2.78
"adm",2020,64355,-0.47,59902,4453,2687,80,2767,1686,339,-526,1873,101,1772,561,565,NA,3.16,3.15,-3209,-5.72,6.92,2.62,2.75,-4.99,3188,4.95,976,2212,3.44,NA,28.5,29.1,5.39,NA,NA,1.44,2.86
"adm",2019,64656,0.49,60509,4147,2493,303,2796,1351,402,-639,1588,209,1379,563,565,NA,2.45,2.44,-6280,-11.15,6.41,2.09,2.13,-9.71,2983,4.61,993,1990,3.08,NA,-23.81,-23.51,13.16,NA,NA,1.4,4.48
"adm",2018,64341,5.78,60160,4181,2165,171,2336,1845,364,-574,2055,245,1810,564,567,NA,3.21,3.19,-5626,-9.97,6.5,2.87,2.81,-8.74,3360,5.22,941,2419,3.76,NA,13.48,14.34,11.92,NA,NA,1.34,4.69
"adm",2017,60828,-2.43,57310,3518,1978,173,2151,1367,330,-565,1602,7,1595,569,572,NA,2.8,2.79,-7015,-12.33,5.78,2.25,2.62,-11.53,2856,4.7,924,1932,3.18,NA,24.71,29.17,0.44,NA,NA,1.28,6.67
"adm",2016,62346,-7.91,58728,3618,1981,55,2036,1582,293,-524,1813,534,1279,588,591,NA,2.18,2.16,-7390,-12.57,5.8,2.54,2.05,-11.85,3006,4.82,900,2106,3.38,NA,-30.83,-27.52,29.45,NA,NA,1.2,7.14
"adm",2015,67702,-16.62,63736,3966,1985,200,2185,1781,308,-814,2287,438,1849,618,621,NA,2.99,2.98,580,0.94,5.86,2.63,2.73,0.86,3477,5.14,882,2595,3.83,NA,-17.75,-13.12,19.15,NA,NA,1.12,16.67
"adm",2014,81201,-9.58,76433,4768,1933,105,2038,2730,337,-732,3125,877,2248,653,656,NA,3.44,3.43,4049,6.2,5.87,3.36,2.77,4.99,4356,5.36,894,3462,4.26,NA,67.51,69.8,28.06,NA,NA,0.96,26.32
